Date,Result
28/11/2025,Calcio Como 2 - 0 Sassuolo
24/11/2025,Sassuolo 2 - 2 AC Pisa
24/11/2025,Torino 1 - 5 Calcio Como
23/11/2025,Inter 0 - 1 Milan
23/11/2025,Lazio 2 - 0 Lecce
23/11/2025,Cremonese 1 - 3 Roma
23/11/2025,Verona 1 - 2 Parma
22/11/2025,Napoli 3 - 1 Atalanta
22/11/2025,Fiorentina 1 - 1 Juventus
22/11/2025,Udinese 0 - 3 Bologna
22/11/2025,Cagliari 3 - 3 Genoa
09/11/2025,Inter 2 - 0 Lazio
09/11/2025,Roma 2 - 0 Udinese
09/11/2025,Genoa 2 - 2 Fiorentina
09/11/2025,Bologna 2 - 0 Napoli
09/11/2025,Atalanta 0 - 3 Sassuolo
08/11/2025,Parma 2 - 2 Milan
08/11/2025,Juventus 0 - 0 Torino
08/11/2025,Lecce 0 - 0 Verona
08/11/2025,Calcio Como 0 - 0 Cagliari
07/11/2025,AC Pisa 1 - 0 Cremonese
03/11/2025,Lazio 2 - 0 Cagliari
03/11/2025,Sassuolo 1 - 2 Genoa
02/11/2025,Milan 1 - 0 Roma
02/11/2025,Parma 1 - 3 Bologna
02/11/2025,Torino 2 - 2 AC Pisa
02/11/2025,Fiorentina 0 - 1 Lecce
02/11/2025,Verona 1 - 2 Inter
01/11/2025,Cremonese 1 - 2 Juventus
01/11/2025,Napoli 0 - 0 Calcio Como
01/11/2025,Udinese 1 - 0 Atalanta
30/10/2025,AC Pisa 0 - 0 Lazio
30/10/2025,Cagliari 1 - 2 Sassuolo
29/10/2025,Bologna 0 - 0 Torino
29/10/2025,Inter 3 - 0 Fiorentina
29/10/2025,Genoa 0 - 2 Cremonese
29/10/2025,Calcio Como 3 - 1 Verona
29/10/2025,Roma 2 - 1 Parma
29/10/2025,Juventus 3 - 1 Udinese
28/10/2025,Atalanta 1 - 1 Milan
28/10/2025,Lecce 0 - 1 Napoli
26/10/2025,Lazio 1 - 0 Juventus
26/10/2025,Fiorentina 2 - 2 Bologna
26/10/2025,Verona 2 - 2 Cagliari
26/10/2025,Sassuolo 0 - 1 Roma
26/10/2025,Torino 2 - 1 Genoa
25/10/2025,Cremonese 1 - 1 Atalanta
25/10/2025,Napoli 3 - 1 Inter
25/10/2025,Udinese 3 - 2 Lecce
25/10/2025,Parma 0 - 0 Calcio Como
24/10/2025,Milan 2 - 2 AC Pisa
20/10/2025,Cremonese 1 - 1 Udinese
19/10/2025,Milan 2 - 1 Fiorentina
19/10/2025,Atalanta 0 - 0 Lazio
19/10/2025,Cagliari 0 - 2 Bologna
19/10/2025,Genoa 0 - 0 Parma
19/10/2025,Calcio Como 2 - 0 Juventus
18/10/2025,Roma 0 - 1 Inter
18/10/2025,Torino 1 - 0 Napoli
18/10/2025,AC Pisa 0 - 0 Verona
18/10/2025,Lecce 0 - 0 Sassuolo
05/10/2025,Juventus 0 - 0 Milan
05/10/2025,Napoli 2 - 1 Genoa
05/10/2025,Fiorentina 1 - 2 Roma
05/10/2025,Bologna 4 - 0 AC Pisa
05/10/2025,Udinese 1 - 1 Cagliari
04/10/2025,Atalanta 1 - 1 Calcio Como
04/10/2025,Inter 4 - 1 Cremonese
04/10/2025,Lazio 3 - 3 Torino
04/10/2025,Parma 0 - 1 Lecce
03/10/2025,Verona 0 - 1 Sassuolo
29/09/2025,Genoa 0 - 3 Lazio
29/09/2025,Parma 2 - 1 Torino
28/09/2025,Milan 2 - 1 Napoli
28/09/2025,Lecce 2 - 2 Bologna
28/09/2025,AC Pisa 0 - 0 Fiorentina
28/09/2025,Roma 2 - 0 Verona
28/09/2025,Sassuolo 3 - 1 Udinese
27/09/2025,Cagliari 0 - 2 Inter
27/09/2025,Juventus 1 - 1 Atalanta
27/09/2025,Calcio Como 1 - 1 Cremonese
22/09/2025,Napoli 3 - 2 AC Pisa
21/09/2025,Inter 2 - 1 Sassuolo
21/09/2025,Fiorentina 1 - 2 Calcio Como
21/09/2025,Cremonese 0 - 0 Parma
21/09/2025,Torino 0 - 3 Atalanta
21/09/2025,Lazio 0 - 1 Roma
20/09/2025,Udinese 0 - 3 Milan
20/09/2025,Verona 1 - 1 Juventus
20/09/2025,Bologna 2 - 1 Genoa
19/09/2025,Lecce 1 - 2 Cagliari
15/09/2025,Calcio Como 1 - 1 Genoa
15/09/2025,Verona 0 - 0 Cremonese
14/09/2025,Milan 1 - 0 Bologna
14/09/2025,Sassuolo 1 - 0 Lazio
14/09/2025,AC Pisa 0 - 1 Udinese
14/09/2025,Atalanta 4 - 1 Lecce
14/09/2025,Roma 0 - 1 Torino
13/09/2025,Fiorentina 1 - 3 Napoli
13/09/2025,Juventus 4 - 3 Inter
13/09/2025,Cagliari 2 - 0 Parma
31/08/2025,Lazio 4 - 0 Verona
31/08/2025,Inter 1 - 2 Udinese
31/08/2025,Torino 0 - 0 Fiorentina
31/08/2025,Genoa 0 - 1 Juventus
30/08/2025,Napoli 1 - 0 Cagliari
30/08/2025,AC Pisa 0 - 1 Roma
30/08/2025,Parma 1 - 1 Atalanta
30/08/2025,Bologna 1 - 0 Calcio Como
29/08/2025,Lecce 0 - 2 Milan
29/08/2025,Cremonese 3 - 2 Sassuolo
25/08/2025,Inter 5 - 0 Torino
25/08/2025,Udinese 1 - 1 Verona
24/08/2025,Atalanta 1 - 1 AC Pisa
24/08/2025,Juventus 2 - 0 Parma
24/08/2025,Calcio Como 2 - 0 Lazio
24/08/2025,Cagliari 1 - 1 Fiorentina
23/08/2025,Milan 1 - 2 Cremonese
23/08/2025,Roma 1 - 0 Bologna
23/08/2025,Sassuolo 0 - 2 Napoli
23/08/2025,Genoa 0 - 0 Lecce
