Competition,Country,Code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Source
Scottish Premiership,Scotland,SC0,03/01/2026,15:00,Kilmarnock,Hibernian,1,3,A,football-data
Scottish Premiership,Scotland,SC0,03/01/2026,15:00,Motherwell,St Mirren,2,0,H,football-data
La Liga,Spain,SP1,03/01/2026,15:15,CA Osasuna,Athletic Club,1,1,D,fixturedownload
La Liga,Spain,SP1,03/01/2026,15:15,Osasuna,Ath Bilbao,1,1,D,football-data
Primeira Liga,Portugal,P1,03/01/2026,15:30,CD Tondela,FC Arouca,3,1,H,fixturedownload
Primeira Liga,Portugal,P1,03/01/2026,15:30,Tondela,Arouca,3,1,H,football-data
Ligue 1,France,F1,03/01/2026,16:00,AS Monaco,Olympique Lyonnais,1,3,A,fixturedownload
Ligue 1,France,F1,03/01/2026,16:00,Monaco,Lyon,1,3,A,football-data
Serie A,Italy,I1,03/01/2026,17:00,Juventus,Lecce,1,1,D,football-data
La Liga,Spain,SP1,03/01/2026,17:30,Elche,Villarreal,1,3,A,football-data
La Liga,Spain,SP1,03/01/2026,17:30,Elche CF,Villarreal CF,1,3,A,fixturedownload
Premier League,England,E0,03/01/2026,17:30,Bournemouth,Arsenal,2,3,A,football-data
Ligue 1,France,F1,03/01/2026,18:00,Nice,Strasbourg,1,1,D,football-data
Ligue 1,France,F1,03/01/2026,18:00,OGC Nice,RC Strasbourg Alsace,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,03/01/2026,18:00,Benfica,Estoril,3,1,H,football-data
Primeira Liga,Portugal,P1,03/01/2026,18:00,Estrela,Sp Braga,3,3,D,football-data
Primeira Liga,Portugal,P1,03/01/2026,18:00,Estrela Amadora,SC Braga,3,3,D,fixturedownload
Primeira Liga,Portugal,P1,03/01/2026,18:00,SL Benfica,Estoril Praia,3,1,H,fixturedownload
Serie A,Italy,I1,03/01/2026,19:45,Atalanta,Roma,1,0,H,football-data
La Liga,Spain,SP1,03/01/2026,20:00,Espanol,Barcelona,0,2,A,football-data
La Liga,Spain,SP1,03/01/2026,20:00,RCD Espanyol de Barcelona,FC Barcelona,0,2,A,fixturedownload
Ligue 1,France,F1,03/01/2026,20:05,LOSC Lille,Stade Rennais FC,0,2,A,fixturedownload
Ligue 1,France,F1,03/01/2026,20:05,Lille,Rennes,0,2,A,football-data
Primeira Liga,Portugal,P1,03/01/2026,20:30,AFS,Moreirense FC,0,2,A,fixturedownload
Primeira Liga,Portugal,P1,03/01/2026,20:30,AVS,Moreirense,0,2,A,football-data
Serie A,Italy,I1,04/01/2026,11:30,Lazio,Napoli,0,2,A,football-data
Premier League,England,E0,04/01/2026,12:30,Leeds,Man United,1,1,D,football-data
La Liga,Spain,SP1,04/01/2026,13:00,Sevilla,Levante,0,3,A,football-data
La Liga,Spain,SP1,04/01/2026,13:00,Sevilla FC,Levante UD,0,3,A,fixturedownload
Ligue 1,France,F1,04/01/2026,14:00,Marseille,Nantes,0,2,A,football-data
Ligue 1,France,F1,04/01/2026,14:00,Olympique de Marseille,FC Nantes,0,2,A,fixturedownload
Serie A,Italy,I1,04/01/2026,14:00,Fiorentina,Cremonese,1,0,H,football-data
Premier League,England,E0,04/01/2026,15:00,Everton,Brentford,2,4,A,football-data
Premier League,England,E0,04/01/2026,15:00,Newcastle,Crystal Palace,2,0,H,football-data
Premier League,England,E0,04/01/2026,15:00,Tottenham,Sunderland,1,1,D,football-data
La Liga,Spain,SP1,04/01/2026,15:15,Real Madrid,Betis,5,1,H,football-data
La Liga,Spain,SP1,04/01/2026,15:15,Real Madrid,Real Betis,5,1,H,fixturedownload
Premier League,England,E0,04/01/2026,15:15,Fulham,Liverpool,2,2,D,football-data
Primeira Liga,Portugal,P1,04/01/2026,15:30,Rio Ave,Casa Pia,3,1,H,football-data
Primeira Liga,Portugal,P1,04/01/2026,15:30,Rio Ave FC,Casa Pia AC,3,1,H,fixturedownload
Ligue 1,France,F1,04/01/2026,16:15,Brest,Auxerre,2,0,H,football-data
Ligue 1,France,F1,04/01/2026,16:15,FC Lorient,FC Metz,1,1,D,fixturedownload
Ligue 1,France,F1,04/01/2026,16:15,Havre Athletic Club,Angers SCO,2,1,H,fixturedownload
Ligue 1,France,F1,04/01/2026,16:15,Le Havre,Angers,2,1,H,football-data
Ligue 1,France,F1,04/01/2026,16:15,Lorient,Metz,1,1,D,football-data
Ligue 1,France,F1,04/01/2026,16:15,Stade Brestois 29,AJ Auxerre,2,0,H,fixturedownload
Serie A,Italy,I1,04/01/2026,17:00,Hellas Verona,Torino,0,3,A,fixturedownload
Serie A,Italy,I1,04/01/2026,17:00,Verona,Torino,0,3,A,football-data
La Liga,Spain,SP1,04/01/2026,17:30,Alaves,Oviedo,1,1,D,football-data
La Liga,Spain,SP1,04/01/2026,17:30,Deportivo Alavés,Real Oviedo,1,1,D,fixturedownload
La Liga,Spain,SP1,04/01/2026,17:30,Mallorca,Girona,1,2,A,football-data
La Liga,Spain,SP1,04/01/2026,17:30,RCD Mallorca,Girona FC,1,2,A,fixturedownload
Premier League,England,E0,04/01/2026,17:30,Man City,Chelsea,1,1,D,football-data
Primeira Liga,Portugal,P1,04/01/2026,18:00,Santa Clara,Porto,0,1,A,football-data
Primeira Liga,Portugal,P1,04/01/2026,18:00,Santa Clara,FC Porto,0,1,A,fixturedownload
Ligue 1,France,F1,04/01/2026,19:45,Paris SG,Paris FC,2,1,H,football-data
Ligue 1,France,F1,04/01/2026,19:45,Paris Saint-Germain,Paris FC,2,1,H,fixturedownload
Serie A,Italy,I1,04/01/2026,19:45,Inter,Bologna,3,1,H,football-data
La Liga,Spain,SP1,04/01/2026,20:00,Real Sociedad,Atlético de Madrid,1,1,D,fixturedownload
La Liga,Spain,SP1,04/01/2026,20:00,Sociedad,Ath Madrid,1,1,D,football-data
Primeira Liga,Portugal,P1,04/01/2026,20:30,Alverca,Famalicao,1,0,H,football-data
Primeira Liga,Portugal,P1,04/01/2026,20:30,FC Alverca,FC Famalicão,1,0,H,fixturedownload
Serie A,Italy,I1,06/01/2026,14:00,Pisa,Como,0,3,A,football-data
Serie A,Italy,I1,06/01/2026,17:00,Lecce,Roma,0,2,A,football-data
Serie A,Italy,I1,06/01/2026,19:45,Sassuolo,Juventus,0,3,A,football-data
Premier League,England,E0,06/01/2026,20:00,West Ham,Nott'm Forest,1,2,A,football-data
Scottish Premiership,Scotland,SC0,06/01/2026,20:00,Rangers,Aberdeen,2,0,H,football-data
Serie A,Italy,I1,07/01/2026,17:30,Bologna,Atalanta,0,2,A,football-data
Serie A,Italy,I1,07/01/2026,17:30,Napoli,Verona,2,2,D,football-data
Serie A,Italy,I1,07/01/2026,17:30,Napoli,Hellas Verona,2,2,D,fixturedownload
Premier League,England,E0,07/01/2026,19:30,Bournemouth,Tottenham,3,2,H,football-data
Premier League,England,E0,07/01/2026,19:30,Brentford,Sunderland,3,0,H,football-data
Premier League,England,E0,07/01/2026,19:30,Crystal Palace,Aston Villa,0,0,D,football-data
Premier League,England,E0,07/01/2026,19:30,Everton,Wolves,1,1,D,football-data
Premier League,England,E0,07/01/2026,19:30,Fulham,Chelsea,2,1,H,football-data
Premier League,England,E0,07/01/2026,19:30,Man City,Brighton,1,1,D,football-data
Serie A,Italy,I1,07/01/2026,19:45,Lazio,Fiorentina,2,2,D,football-data
Serie A,Italy,I1,07/01/2026,19:45,Parma,Inter,0,2,A,football-data
Serie A,Italy,I1,07/01/2026,19:45,Torino,Udinese,1,2,A,football-data
Premier League,England,E0,07/01/2026,20:15,Burnley,Man United,2,2,D,football-data
Premier League,England,E0,07/01/2026,20:15,Newcastle,Leeds,4,3,H,football-data
Serie A,Italy,I1,08/01/2026,17:30,Cremonese,Cagliari,2,2,D,football-data
Serie A,Italy,I1,08/01/2026,19:45,Milan,Genoa,1,1,D,football-data
Premier League,England,E0,08/01/2026,20:00,Arsenal,Liverpool,0,0,D,football-data
Eredivisie,Netherlands,N1,09/01/2026,19:00,N.E.C. Nijmegen,FC Utrecht,,,,fixturedownload
Bundesliga,Germany,D1,09/01/2026,19:30,Ein Frankfurt,Dortmund,3,3,D,football-data
Bundesliga,Germany,D1,09/01/2026,19:30,Eintracht Frankfurt,Borussia Dortmund,3,3,D,fixturedownload
La Liga,Spain,SP1,09/01/2026,20:00,Getafe,Sociedad,1,2,A,football-data
La Liga,Spain,SP1,09/01/2026,20:00,Getafe CF,Real Sociedad,1,2,A,fixturedownload
La Liga,Spain,SP1,10/01/2026,13:00,Oviedo,Betis,1,1,D,football-data
La Liga,Spain,SP1,10/01/2026,13:00,Real Oviedo,Real Betis,1,1,D,fixturedownload
Serie A,Italy,I1,10/01/2026,14:00,Como,Bologna,1,1,D,football-data
Serie A,Italy,I1,10/01/2026,14:00,Udinese,Pisa,2,2,D,football-data
Bundesliga,Germany,D1,10/01/2026,14:30,1. FC Heidenheim 1846,1. FC Köln,2,2,D,fixturedownload
Bundesliga,Germany,D1,10/01/2026,14:30,1. FC Union Berlin,1. FSV Mainz 05,2,2,D,fixturedownload
Bundesliga,Germany,D1,10/01/2026,14:30,Freiburg,Hamburg,2,1,H,football-data
Bundesliga,Germany,D1,10/01/2026,14:30,Heidenheim,FC Koln,2,2,D,football-data
Bundesliga,Germany,D1,10/01/2026,14:30,Sport-Club Freiburg,Hamburger SV,2,1,H,fixturedownload
Bundesliga,Germany,D1,10/01/2026,14:30,Union Berlin,Mainz,2,2,D,football-data
Scottish Premiership,Scotland,SC0,10/01/2026,15:00,Celtic,Dundee United,4,0,H,football-data
Scottish Premiership,Scotland,SC0,10/01/2026,15:00,Hibernian,Motherwell,1,1,D,football-data
Scottish Premiership,Scotland,SC0,10/01/2026,15:00,Livingston,Kilmarnock,1,1,D,football-data
Scottish Premiership,Scotland,SC0,10/01/2026,15:00,St Mirren,Falkirk,0,2,A,football-data
La Liga,Spain,SP1,10/01/2026,15:15,Villarreal,Alaves,3,1,H,football-data
La Liga,Spain,SP1,10/01/2026,15:15,Villarreal CF,Deportivo Alavés,3,1,H,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,15:30,AZ,FC Volendam,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,15:30,AZ Alkmaar,Volendam,1,0,H,football-data
Serie A,Italy,I1,10/01/2026,17:00,Roma,Sassuolo,2,0,H,football-data
Bundesliga,Germany,D1,10/01/2026,17:30,Bayer 04 Leverkusen,VfB Stuttgart,1,4,A,fixturedownload
Bundesliga,Germany,D1,10/01/2026,17:30,Leverkusen,Stuttgart,1,4,A,football-data
La Liga,Spain,SP1,10/01/2026,17:30,Girona,Osasuna,1,0,H,football-data
La Liga,Spain,SP1,10/01/2026,17:30,Girona FC,CA Osasuna,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,17:45,FC Twente,PEC Zwolle,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,17:45,Twente,Zwolle,1,1,D,football-data
Eredivisie,Netherlands,N1,10/01/2026,19:00,PSV,Excelsior Rotterdam,5,1,H,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,19:00,PSV Eindhoven,Excelsior,5,1,H,football-data
Serie A,Italy,I1,10/01/2026,19:45,Atalanta,Torino,2,0,H,football-data
Eredivisie,Netherlands,N1,10/01/2026,20:00,FC Groningen,NAC Breda,0,0,D,fixturedownload
Eredivisie,Netherlands,N1,10/01/2026,20:00,Groningen,NAC Breda,0,0,D,football-data
La Liga,Spain,SP1,10/01/2026,20:00,Valencia,Elche,1,1,D,football-data
La Liga,Spain,SP1,10/01/2026,20:00,Valencia CF,Elche CF,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,11/01/2026,11:15,Heerenveen,Feyenoord,2,2,D,football-data
Eredivisie,Netherlands,N1,11/01/2026,11:15,sc Heerenveen,Feyenoord,2,2,D,fixturedownload
Serie A,Italy,I1,11/01/2026,11:30,Lecce,Parma,1,2,A,football-data
La Liga,Spain,SP1,11/01/2026,13:00,Rayo Vallecano,RCD Mallorca,2,1,H,fixturedownload
La Liga,Spain,SP1,11/01/2026,13:00,Vallecano,Mallorca,2,1,H,football-data
Eredivisie,Netherlands,N1,11/01/2026,13:30,Go Ahead Eagles,For Sittard,2,2,D,football-data
Eredivisie,Netherlands,N1,11/01/2026,13:30,Go Ahead Eagles,Fortuna Sittard,2,2,D,fixturedownload
Eredivisie,Netherlands,N1,11/01/2026,13:30,Telstar,Ajax,2,3,A,football-data
Scottish Premiership,Scotland,SC0,11/01/2026,14:00,Dundee,Hearts,0,1,A,football-data
Serie A,Italy,I1,11/01/2026,14:00,Fiorentina,Milan,1,1,D,football-data
Bundesliga,Germany,D1,11/01/2026,14:30,Borussia Mönchengladbach,FC Augsburg,4,0,H,fixturedownload
Bundesliga,Germany,D1,11/01/2026,14:30,M'gladbach,Augsburg,4,0,H,football-data
La Liga,Spain,SP1,11/01/2026,15:15,Levante,Espanol,1,1,D,football-data
La Liga,Spain,SP1,11/01/2026,15:15,Levante UD,RCD Espanyol de Barcelona,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,11/01/2026,15:30,CD Nacional,Santa Clara,3,3,D,fixturedownload
Primeira Liga,Portugal,P1,11/01/2026,15:30,Nacional,Santa Clara,3,3,D,football-data
Eredivisie,Netherlands,N1,11/01/2026,15:45,Sparta Rotterdam,Heracles,2,0,H,football-data
Eredivisie,Netherlands,N1,11/01/2026,15:45,Sparta Rotterdam,Heracles Almelo,2,0,H,fixturedownload
Bundesliga,Germany,D1,11/01/2026,16:30,Bayern Munich,Wolfsburg,8,1,H,football-data
Bundesliga,Germany,D1,11/01/2026,16:30,FC Bayern München,VfL Wolfsburg,8,1,H,fixturedownload
Scottish Premiership,Scotland,SC0,11/01/2026,16:30,Aberdeen,Rangers,0,2,A,football-data
Serie A,Italy,I1,11/01/2026,17:00,Hellas Verona,Lazio,0,1,A,fixturedownload
Serie A,Italy,I1,11/01/2026,17:00,Verona,Lazio,0,1,A,football-data
Primeira Liga,Portugal,P1,11/01/2026,18:00,Moreirense,Tondela,1,0,H,football-data
Primeira Liga,Portugal,P1,11/01/2026,18:00,Moreirense FC,CD Tondela,1,0,H,fixturedownload
Serie A,Italy,I1,11/01/2026,19:45,Inter,Napoli,2,2,D,football-data
Serie A,Italy,I1,12/01/2026,17:30,Genoa,Cagliari,3,0,H,football-data
Serie A,Italy,I1,12/01/2026,19:45,Juventus,Cremonese,5,0,H,football-data
La Liga,Spain,SP1,12/01/2026,20:00,Sevilla,Celta,0,1,A,football-data
La Liga,Spain,SP1,12/01/2026,20:00,Sevilla FC,Celta,0,1,A,fixturedownload
Bundesliga,Germany,D1,13/01/2026,17:30,Stuttgart,Ein Frankfurt,3,2,H,football-data
Bundesliga,Germany,D1,13/01/2026,17:30,VfB Stuttgart,Eintracht Frankfurt,3,2,H,fixturedownload
Bundesliga,Germany,D1,13/01/2026,19:30,1. FSV Mainz 05,1. FC Heidenheim 1846,2,1,H,fixturedownload
Bundesliga,Germany,D1,13/01/2026,19:30,Borussia Dortmund,SV Werder Bremen,3,0,H,fixturedownload
Bundesliga,Germany,D1,13/01/2026,19:30,Dortmund,Werder Bremen,3,0,H,football-data
Bundesliga,Germany,D1,13/01/2026,19:30,Mainz,Heidenheim,2,1,H,football-data
Bundesliga,Germany,D1,14/01/2026,17:30,VfL Wolfsburg,FC St. Pauli,2,1,H,fixturedownload
Bundesliga,Germany,D1,14/01/2026,17:30,Wolfsburg,St Pauli,2,1,H,football-data
Serie A,Italy,I1,14/01/2026,17:30,Napoli,Parma,0,0,D,football-data
Bundesliga,Germany,D1,14/01/2026,19:30,1. FC Köln,FC Bayern München,1,3,A,fixturedownload
Bundesliga,Germany,D1,14/01/2026,19:30,FC Koln,Bayern Munich,1,3,A,football-data
Bundesliga,Germany,D1,14/01/2026,19:30,Hoffenheim,M'gladbach,5,1,H,football-data
Bundesliga,Germany,D1,14/01/2026,19:30,RB Leipzig,Freiburg,2,0,H,football-data
Bundesliga,Germany,D1,14/01/2026,19:30,RB Leipzig,Sport-Club Freiburg,2,0,H,fixturedownload
Bundesliga,Germany,D1,14/01/2026,19:30,TSG Hoffenheim,Borussia Mönchengladbach,5,1,H,fixturedownload
Scottish Premiership,Scotland,SC0,14/01/2026,19:45,Falkirk,Celtic,0,1,A,football-data
Scottish Premiership,Scotland,SC0,14/01/2026,19:45,Hearts,St Mirren,2,0,H,football-data
Serie A,Italy,I1,14/01/2026,19:45,Inter,Lecce,1,0,H,football-data
Serie A,Italy,I1,15/01/2026,17:30,Hellas Verona,Bologna,2,3,A,fixturedownload
Serie A,Italy,I1,15/01/2026,17:30,Verona,Bologna,2,3,A,football-data
Bundesliga,Germany,D1,15/01/2026,19:30,Augsburg,Union Berlin,1,1,D,football-data
Bundesliga,Germany,D1,15/01/2026,19:30,FC Augsburg,1. FC Union Berlin,1,1,D,fixturedownload
Serie A,Italy,I1,15/01/2026,19:45,Como,Milan,1,3,A,football-data
Ligue 1,France,F1,16/01/2026,18:00,AS Monaco,FC Lorient,1,3,A,fixturedownload
Ligue 1,France,F1,16/01/2026,18:00,Monaco,Lorient,1,3,A,football-data
Bundesliga,Germany,D1,16/01/2026,19:30,SV Werder Bremen,Eintracht Frankfurt,3,3,D,fixturedownload
Bundesliga,Germany,D1,16/01/2026,19:30,Werder Bremen,Ein Frankfurt,3,3,D,football-data
Belgian Pro League,Belgium,B1,16/01/2026,19:45,Club Brugge,RAAL La Louviere,2,3,A,football-data
Serie A,Italy,I1,16/01/2026,19:45,Pisa,Atalanta,1,1,D,football-data
La Liga,Spain,SP1,16/01/2026,20:00,Espanol,Girona,0,2,A,football-data
La Liga,Spain,SP1,16/01/2026,20:00,RCD Espanyol de Barcelona,Girona FC,0,2,A,fixturedownload
Ligue 1,France,F1,16/01/2026,20:00,Paris SG,Lille,3,0,H,football-data
Ligue 1,France,F1,16/01/2026,20:00,Paris Saint-Germain,LOSC Lille,3,0,H,fixturedownload
Primeira Liga,Portugal,P1,16/01/2026,20:15,Sp Lisbon,Casa Pia,3,0,H,football-data
Primeira Liga,Portugal,P1,16/01/2026,20:15,Sporting CP,Casa Pia AC,3,0,H,fixturedownload
Premier League,England,E0,17/01/2026,12:30,Man United,Man City,2,0,H,football-data
La Liga,Spain,SP1,17/01/2026,13:00,Real Madrid,Levante,2,0,H,football-data
La Liga,Spain,SP1,17/01/2026,13:00,Real Madrid,Levante UD,2,0,H,fixturedownload
Serie A,Italy,I1,17/01/2026,14:00,Udinese,Inter,0,1,A,football-data
Turkish Super Lig,Turkey,T1,17/01/2026,14:00,Buyuksehyr,Karagumruk,2,1,H,football-data
Turkish Super Lig,Turkey,T1,17/01/2026,14:00,Istanbul Basaksehir,Fatih Karagümrük,2,1,H,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,1. FC Köln,1. FSV Mainz 05,2,1,H,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,Borussia Dortmund,FC St. Pauli,3,2,H,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,Dortmund,St Pauli,3,2,H,football-data
Bundesliga,Germany,D1,17/01/2026,14:30,FC Koln,Mainz,2,1,H,football-data
Bundesliga,Germany,D1,17/01/2026,14:30,Hamburg,M'gladbach,0,0,D,football-data
Bundesliga,Germany,D1,17/01/2026,14:30,Hamburger SV,Borussia Mönchengladbach,0,0,D,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,Hoffenheim,Leverkusen,1,0,H,football-data
Bundesliga,Germany,D1,17/01/2026,14:30,TSG Hoffenheim,Bayer 04 Leverkusen,1,0,H,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,VfL Wolfsburg,1. FC Heidenheim 1846,1,1,D,fixturedownload
Bundesliga,Germany,D1,17/01/2026,14:30,Wolfsburg,Heidenheim,1,1,D,football-data
Belgian Pro League,Belgium,B1,17/01/2026,15:00,Waregem,Genk,2,1,H,football-data
Premier League,England,E0,17/01/2026,15:00,Chelsea,Brentford,2,0,H,football-data
Premier League,England,E0,17/01/2026,15:00,Leeds,Fulham,1,0,H,football-data
Premier League,England,E0,17/01/2026,15:00,Liverpool,Burnley,1,1,D,football-data
Premier League,England,E0,17/01/2026,15:00,Sunderland,Crystal Palace,2,1,H,football-data
Premier League,England,E0,17/01/2026,15:00,Tottenham,West Ham,1,2,A,football-data
La Liga,Spain,SP1,17/01/2026,15:15,Mallorca,Ath Bilbao,3,2,H,football-data
La Liga,Spain,SP1,17/01/2026,15:15,RCD Mallorca,Athletic Club,3,2,H,fixturedownload
Eredivisie,Netherlands,N1,17/01/2026,15:30,Ajax,Go Ahead Eagles,2,2,D,football-data
Primeira Liga,Portugal,P1,17/01/2026,15:30,Gil Vicente,Nacional,2,1,H,football-data
Primeira Liga,Portugal,P1,17/01/2026,15:30,Gil Vicente FC,CD Nacional,2,1,H,fixturedownload
Ligue 1,France,F1,17/01/2026,16:00,Lens,Auxerre,1,0,H,football-data
Ligue 1,France,F1,17/01/2026,16:00,RC Lens,AJ Auxerre,1,0,H,fixturedownload
Serie A,Italy,I1,17/01/2026,17:00,Napoli,Sassuolo,1,0,H,football-data
Turkish Super Lig,Turkey,T1,17/01/2026,17:00,Galatasaray,Gaziantep,1,1,D,football-data
Belgian Pro League,Belgium,B1,17/01/2026,17:15,Westerlo,Cercle Brugge,0,2,A,football-data
Bundesliga,Germany,D1,17/01/2026,17:30,RB Leipzig,Bayern Munich,1,5,A,football-data
Bundesliga,Germany,D1,17/01/2026,17:30,RB Leipzig,FC Bayern München,1,5,A,fixturedownload
La Liga,Spain,SP1,17/01/2026,17:30,CA Osasuna,Real Oviedo,3,2,H,fixturedownload
La Liga,Spain,SP1,17/01/2026,17:30,Osasuna,Oviedo,3,2,H,football-data
Premier League,England,E0,17/01/2026,17:30,Nott'm Forest,Arsenal,0,0,D,football-data
Eredivisie,Netherlands,N1,17/01/2026,17:45,PEC Zwolle,AZ,3,1,H,fixturedownload
Eredivisie,Netherlands,N1,17/01/2026,17:45,Zwolle,AZ Alkmaar,3,1,H,football-data
Ligue 1,France,F1,17/01/2026,18:00,Toulouse,Nice,5,1,H,football-data
Ligue 1,France,F1,17/01/2026,18:00,Toulouse FC,OGC Nice,5,1,H,fixturedownload
Primeira Liga,Portugal,P1,17/01/2026,18:00,AFS,FC Arouca,0,1,A,fixturedownload
Primeira Liga,Portugal,P1,17/01/2026,18:00,AVS,Arouca,0,1,A,football-data
Primeira Liga,Portugal,P1,17/01/2026,18:00,Alverca,Moreirense,2,1,H,football-data
Primeira Liga,Portugal,P1,17/01/2026,18:00,FC Alverca,Moreirense FC,2,1,H,fixturedownload
Eredivisie,Netherlands,N1,17/01/2026,19:00,Excelsior,Telstar,2,2,D,football-data
Eredivisie,Netherlands,N1,17/01/2026,19:00,Excelsior Rotterdam,Telstar,2,2,D,fixturedownload
Eredivisie,Netherlands,N1,17/01/2026,19:00,For Sittard,PSV Eindhoven,1,2,A,football-data
Eredivisie,Netherlands,N1,17/01/2026,19:00,Fortuna Sittard,PSV,1,2,A,fixturedownload
Belgian Pro League,Belgium,B1,17/01/2026,19:45,St. Gilloise,Mechelen,1,0,H,football-data
Serie A,Italy,I1,17/01/2026,19:45,Cagliari,Juventus,1,0,H,football-data
Eredivisie,Netherlands,N1,17/01/2026,20:00,NAC Breda,Nijmegen,3,4,A,football-data
Eredivisie,Netherlands,N1,17/01/2026,20:00,NAC Breda,N.E.C. Nijmegen,3,4,A,fixturedownload
La Liga,Spain,SP1,17/01/2026,20:00,Betis,Villarreal,2,0,H,football-data
La Liga,Spain,SP1,17/01/2026,20:00,Real Betis,Villarreal CF,2,0,H,fixturedownload
Ligue 1,France,F1,17/01/2026,20:05,Angers,Marseille,2,5,A,football-data
Ligue 1,France,F1,17/01/2026,20:05,Angers SCO,Olympique de Marseille,2,5,A,fixturedownload
Primeira Liga,Portugal,P1,17/01/2026,20:30,Rio Ave,Benfica,0,2,A,football-data
Primeira Liga,Portugal,P1,17/01/2026,20:30,Rio Ave FC,SL Benfica,0,2,A,fixturedownload
Eredivisie,Netherlands,N1,18/01/2026,11:15,Heerenveen,Groningen,0,2,A,football-data
Eredivisie,Netherlands,N1,18/01/2026,11:15,sc Heerenveen,FC Groningen,0,2,A,fixturedownload
Serie A,Italy,I1,18/01/2026,11:30,Parma,Genoa,0,0,D,football-data
Turkish Super Lig,Turkey,T1,18/01/2026,11:30,Kasimpasa,Antalyaspor,0,0,D,football-data
Belgian Pro League,Belgium,B1,18/01/2026,12:30,Gent,Anderlecht,4,2,H,football-data
La Liga,Spain,SP1,18/01/2026,13:00,Getafe,Valencia,0,1,A,football-data
La Liga,Spain,SP1,18/01/2026,13:00,Getafe CF,Valencia CF,0,1,A,fixturedownload
Eredivisie,Netherlands,N1,18/01/2026,13:30,FC Volendam,FC Utrecht,2,1,H,fixturedownload
Eredivisie,Netherlands,N1,18/01/2026,13:30,Heracles,Twente,0,2,A,football-data
Eredivisie,Netherlands,N1,18/01/2026,13:30,Heracles Almelo,FC Twente,0,2,A,fixturedownload
Eredivisie,Netherlands,N1,18/01/2026,13:30,Volendam,Utrecht,2,1,H,football-data
Ligue 1,France,F1,18/01/2026,14:00,RC Strasbourg Alsace,FC Metz,2,1,H,fixturedownload
Ligue 1,France,F1,18/01/2026,14:00,Strasbourg,Metz,2,1,H,football-data
Premier League,England,E0,18/01/2026,14:00,Wolves,Newcastle,0,0,D,football-data
Serie A,Italy,I1,18/01/2026,14:00,Bologna,Fiorentina,1,2,A,football-data
Turkish Super Lig,Turkey,T1,18/01/2026,14:00,Genclerbirligi,Samsunspor,1,1,D,football-data
Turkish Super Lig,Turkey,T1,18/01/2026,14:00,Gençlerbirligi,Samsunspor,1,1,D,fixturedownload
Turkish Super Lig,Turkey,T1,18/01/2026,14:00,Kocaelispor,Trabzonspor,1,2,A,football-data
Bundesliga,Germany,D1,18/01/2026,14:30,Stuttgart,Union Berlin,1,1,D,football-data
Bundesliga,Germany,D1,18/01/2026,14:30,VfB Stuttgart,1. FC Union Berlin,1,1,D,fixturedownload
Belgian Pro League,Belgium,B1,18/01/2026,15:00,Dender,Antwerp,1,0,H,football-data
La Liga,Spain,SP1,18/01/2026,15:15,Ath Madrid,Alaves,1,0,H,football-data
La Liga,Spain,SP1,18/01/2026,15:15,Atlético de Madrid,Deportivo Alavés,1,0,H,fixturedownload
Primeira Liga,Portugal,P1,18/01/2026,15:30,Santa Clara,Famalicao,0,1,A,football-data
Primeira Liga,Portugal,P1,18/01/2026,15:30,Santa Clara,FC Famalicão,0,1,A,fixturedownload
Eredivisie,Netherlands,N1,18/01/2026,15:45,Feyenoord,Sparta Rotterdam,3,4,A,football-data
Ligue 1,France,F1,18/01/2026,16:15,FC Nantes,Paris FC,1,2,A,fixturedownload
Ligue 1,France,F1,18/01/2026,16:15,Nantes,Paris FC,1,2,A,football-data
Ligue 1,France,F1,18/01/2026,16:15,Rennes,Le Havre,1,1,D,football-data
Ligue 1,France,F1,18/01/2026,16:15,Stade Rennais FC,Havre Athletic Club,1,1,D,fixturedownload
Bundesliga,Germany,D1,18/01/2026,16:30,Augsburg,Freiburg,2,2,D,football-data
Bundesliga,Germany,D1,18/01/2026,16:30,FC Augsburg,Sport-Club Freiburg,2,2,D,fixturedownload
Premier League,England,E0,18/01/2026,16:30,Aston Villa,Everton,0,1,A,football-data
Serie A,Italy,I1,18/01/2026,17:00,Torino,Roma,0,2,A,football-data
Turkish Super Lig,Turkey,T1,18/01/2026,17:00,Alanyaspor,Fenerbahce,2,3,A,football-data
Turkish Super Lig,Turkey,T1,18/01/2026,17:00,Alanyaspor,Fenerbahçe,2,3,A,fixturedownload
Belgian Pro League,Belgium,B1,18/01/2026,17:30,Charleroi,Standard,2,0,H,football-data
