Date,Result
27/09/2025,Volendam 2 - 1 PEC Zwolle
27/09/2025,Ajax 2 - 1 NAC Breda
26/09/2025,Twente 3 - 2 Fortuna Sittard
24/09/2025,AZ Alkmaar 2 - 2 PEC Zwolle
21/09/2025,AZ Alkmaar 3 - 3 Feyenoord
21/09/2025,PSV Eindhoven 2 - 2 Ajax
21/09/2025,Heerenveen 3 - 2 Nijmegen
21/09/2025,PEC Zwolle 0 - 2 Go Ahead Eagles
20/09/2025,NAC Breda 2 - 1 Heracles
20/09/2025,Fortuna Sittard 1 - 0 Utrecht
20/09/2025,Groningen 2 - 0 SC Telstar
20/09/2025,Volendam 1 - 2 Excelsior
19/09/2025,Sparta Rotterdam 1 - 5 Twente
17/09/2025,Feyenoord 2 - 0 Fortuna Sittard
14/09/2025,SC Telstar 1 - 3 Fortuna Sittard
14/09/2025,Heracles 1 - 2 AZ Alkmaar
14/09/2025,Utrecht 0 - 1 Groningen
14/09/2025,Excelsior 0 - 1 Sparta Rotterdam
13/09/2025,Feyenoord 1 - 0 Heerenveen
13/09/2025,Twente 2 - 2 NAC Breda
13/09/2025,Nijmegen 3 - 5 PSV Eindhoven
13/09/2025,Go Ahead Eagles 3 - 0 Volendam
13/09/2025,Ajax 3 - 1 PEC Zwolle
31/08/2025,NAC Breda 0 - 1 AZ Alkmaar
31/08/2025,Sparta Rotterdam 0 - 4 Feyenoord
31/08/2025,PEC Zwolle 0 - 2 Utrecht
31/08/2025,Fortuna Sittard 3 - 2 Nijmegen
30/08/2025,Excelsior 1 - 0 Twente
30/08/2025,PSV Eindhoven 0 - 2 SC Telstar
30/08/2025,Heerenveen 2 - 2 Go Ahead Eagles
30/08/2025,Volendam 1 - 1 Ajax
29/08/2025,Groningen 4 - 0 Heracles
24/08/2025,Ajax 2 - 0 Heracles
24/08/2025,Nijmegen 3 - 0 NAC Breda
24/08/2025,Utrecht 4 - 1 Excelsior
24/08/2025,Heerenveen 1 - 2 Twente
23/08/2025,SC Telstar 2 - 2 Volendam
23/08/2025,PSV Eindhoven 4 - 2 Groningen
23/08/2025,Go Ahead Eagles 0 - 3 Sparta Rotterdam
17/08/2025,NAC Breda 2 - 1 Fortuna Sittard
17/08/2025,Volendam 2 - 2 AZ Alkmaar
17/08/2025,Sparta Rotterdam 2 - 1 Utrecht
17/08/2025,Twente 0 - 2 PSV Eindhoven
17/08/2025,Go Ahead Eagles 2 - 2 Ajax
16/08/2025,Groningen 2 - 1 Heerenveen
16/08/2025,Heracles 1 - 4 Nijmegen
16/08/2025,Excelsior 1 - 2 Feyenoord
15/08/2025,SC Telstar 0 - 2 PEC Zwolle
10/08/2025,Utrecht 4 - 0 Heracles
10/08/2025,Ajax 2 - 0 SC Telstar
10/08/2025,AZ Alkmaar 4 - 1 Groningen
10/08/2025,PEC Zwolle 1 - 0 Twente
09/08/2025,PSV Eindhoven 6 - 1 Sparta Rotterdam
09/08/2025,Heerenveen 1 - 1 Volendam
09/08/2025,Feyenoord 2 - 0 NAC Breda
09/08/2025,Nijmegen 5 - 0 Excelsior
08/08/2025,Fortuna Sittard 2 - 2 Go Ahead Eagles
