Date,Result
24/10/2025,Fatih Karagümrük 2 - 2 Kayserispor
22/10/2025,Rizespor 0 - 0 Basaksehir
22/10/2025,Konyaspor 0 - 2 Besiktas
20/10/2025,Eyüpspor 2 - 0 Kasımpasa SK
19/10/2025,Fenerbahçe 2 - 1 Fatih Karagümrük
19/10/2025,Alanyaspor 1 - 0 Göztepe Izmir
19/10/2025,Gaziantep 3 - 2 Antalyaspor
19/10/2025,Kayserispor 1 - 3 Samsunspor
18/10/2025,Basaksehir 1 - 2 Galatasaray
18/10/2025,Rizespor 1 - 2 Trabzonspor
18/10/2025,Besiktas 1 - 2 Genclerbirligi
18/10/2025,Konyaspor 2 - 3 Kocaelispor
05/10/2025,Samsunspor 0 - 0 Fenerbahçe
05/10/2025,Göztepe Izmir 1 - 0 Basaksehir
05/10/2025,Fatih Karagümrük 0 - 2 Gaziantep
05/10/2025,Kasımpasa SK 1 - 1 Konyaspor
04/10/2025,Galatasaray 1 - 1 Besiktas
04/10/2025,Kocaelispor 1 - 0 Eyüpspor
04/10/2025,Genclerbirligi 2 - 2 Alanyaspor
03/10/2025,Trabzonspor 4 - 0 Kayserispor
03/10/2025,Antalyaspor 2 - 5 Rizespor
29/09/2025,Besiktas 3 - 1 Kocaelispor
28/09/2025,Kayserispor 1 - 1 Genclerbirligi
28/09/2025,Fenerbahçe 2 - 0 Antalyaspor
28/09/2025,Rizespor 1 - 2 Kasımpasa SK
28/09/2025,Konyaspor 2 - 1 Basaksehir
27/09/2025,Fatih Karagümrük 3 - 4 Trabzonspor
27/09/2025,Eyüpspor 0 - 0 Göztepe Izmir
27/09/2025,Gaziantep 2 - 2 Samsunspor
26/09/2025,Alanyaspor 0 - 1 Galatasaray
24/09/2025,Kayserispor 0 - 4 Besiktas
22/09/2025,Galatasaray 3 - 1 Konyaspor
21/09/2025,Samsunspor 3 - 2 Fatih Karagümrük
21/09/2025,Kasımpasa SK 1 - 1 Fenerbahçe
21/09/2025,Kocaelispor 1 - 1 Rizespor
21/09/2025,Basaksehir 1 - 1 Alanyaspor
20/09/2025,Antalyaspor 1 - 1 Kayserispor
20/09/2025,Trabzonspor 1 - 1 Gaziantep
20/09/2025,Genclerbirligi 1 - 0 Eyüpspor
19/09/2025,Göztepe Izmir 3 - 0 Besiktas
17/09/2025,Samsunspor 0 - 0 Kasımpasa SK
17/09/2025,Fatih Karagümrük 0 - 2 Basaksehir
17/09/2025,Fenerbahçe 2 - 2 Alanyaspor
15/09/2025,Rizespor 1 - 0 Genclerbirligi
14/09/2025,Gaziantep 2 - 0 Kocaelispor
14/09/2025,Fenerbahçe 1 - 0 Trabzonspor
14/09/2025,Kayserispor 1 - 1 Göztepe Izmir
13/09/2025,Konyaspor 1 - 2 Alanyaspor
13/09/2025,Besiktas 2 - 1 Basaksehir
13/09/2025,Samsunspor 1 - 2 Antalyaspor
13/09/2025,Eyüpspor 0 - 2 Galatasaray
13/09/2025,Fatih Karagümrük 0 - 1 Kasımpasa SK
31/08/2025,Trabzonspor 1 - 1 Samsunspor
31/08/2025,Alanyaspor 2 - 0 Besiktas
31/08/2025,Genclerbirligi 1 - 3 Fenerbahçe
31/08/2025,Basaksehir 0 - 0 Eyüpspor
30/08/2025,Galatasaray 3 - 1 Rizespor
30/08/2025,Antalyaspor 1 - 2 Fatih Karagümrük
30/08/2025,Kocaelispor 1 - 1 Kayserispor
30/08/2025,Kasımpasa SK 2 - 3 Gaziantep
29/08/2025,Göztepe Izmir 1 - 1 Konyaspor
25/08/2025,Eyüpspor 2 - 1 Alanyaspor
24/08/2025,Kayserispor 0 - 4 Galatasaray
24/08/2025,Trabzonspor 1 - 0 Antalyaspor
23/08/2025,Gaziantep 2 - 1 Genclerbirligi
23/08/2025,Fenerbahçe 3 - 1 Kocaelispor
22/08/2025,Fatih Karagümrük 0 - 2 Göztepe Izmir
18/08/2025,Kasımpasa SK 0 - 1 Trabzonspor
17/08/2025,Basaksehir 1 - 1 Kayserispor
17/08/2025,Besiktas 2 - 1 Eyüpspor
17/08/2025,Genclerbirligi 0 - 1 Antalyaspor
17/08/2025,Konyaspor 3 - 0 Gaziantep
16/08/2025,Alanyaspor 0 - 0 Rizespor
16/08/2025,Göztepe Izmir 0 - 0 Fenerbahçe
16/08/2025,Kocaelispor 0 - 1 Samsunspor
15/08/2025,Galatasaray 3 - 0 Fatih Karagümrük
11/08/2025,Trabzonspor 1 - 0 Kocaelispor
10/08/2025,Eyüpspor 1 - 4 Konyaspor
10/08/2025,Rizespor 0 - 3 Göztepe Izmir
09/08/2025,Antalyaspor 2 - 1 Kasımpasa SK
09/08/2025,Samsunspor 2 - 1 Genclerbirligi
08/08/2025,Gaziantep 0 - 3 Galatasaray
