Date,Result
17/10/2025,Al Feiha 1 - 1 Ittihad Jeddah
27/09/2025,Al Fateh (KSA) 0 - 1 Qadisiya Khubar
27/09/2025,Al Najma (KSA) 1 - 2 Al Feiha
27/09/2025,Al Riyadh SC 2 - 3 Neom SC
26/09/2025,Ittihad Jeddah 0 - 2 Al Nassr
26/09/2025,Damak 1 - 3 Ettifaq FC
26/09/2025,Al Hazm 0 - 2 Al Ahli
25/09/2025,Al Hilal 3 - 1 Al Akhdood
25/09/2025,Shabab Riyadh 1 - 2 Al Kholood Club
25/09/2025,Al Khaleej Club 0 - 1 Taawoun
20/09/2025,Al Nassr 5 - 1 Al Riyadh SC
20/09/2025,Al Najma (KSA) 0 - 1 Ittihad Jeddah
20/09/2025,Al Hazm 0 - 0 Al Fateh (KSA)
19/09/2025,Al Ahli 3 - 3 Al Hilal
19/09/2025,Al Feiha 0 - 0 Shabab Riyadh
19/09/2025,Qadisiya Khubar 2 - 1 Al Khaleej Club
18/09/2025,Neom SC 1 - 0 Al Akhdood
18/09/2025,Al Kholood Club 2 - 1 Damak
18/09/2025,Taawoun 4 - 1 Ettifaq FC
14/09/2025,Al Nassr 2 - 0 Al Kholood Club
14/09/2025,Damak 1 - 2 Neom SC
14/09/2025,Al Riyadh SC 2 - 1 Al Najma (KSA)
13/09/2025,Al Hilal 2 - 2 Qadisiya Khubar
13/09/2025,Al Akhdood 2 - 3 Taawoun
13/09/2025,Al Khaleej Club 3 - 0 Al Feiha
12/09/2025,Ittihad Jeddah 4 - 2 Al Fateh (KSA)
12/09/2025,Shabab Riyadh 1 - 0 Al Hazm
12/09/2025,Ettifaq FC 0 - 0 Al Ahli
30/08/2025,Qadisiya Khubar 3 - 1 Al Najma (KSA)
30/08/2025,Al Akhdood 2 - 5 Ittihad Jeddah
30/08/2025,Al Fateh (KSA) 1 - 2 Al Feiha
29/08/2025,Taawoun 0 - 5 Al Nassr
29/08/2025,Shabab Riyadh 1 - 4 Al Khaleej Club
29/08/2025,Al Hilal 2 - 0 Al Riyadh SC
28/08/2025,Ettifaq FC 2 - 1 Al Kholood Club
28/08/2025,Al Ahli 1 - 0 Neom SC
28/08/2025,Damak 1 - 1 Al Hazm
